,mean_intensity,median_intensity,sd_intensity,min_intensity,max_intensity,mean_ratio,mean_difference,mean_all_ratio,mean_all_difference,mean_max_ratio,mean_max_difference,lbp_mean,lbp_std,contrast,correlation,energy,homogeneity,area,perimeter,eccentricity,major_axis_length,minor_axis_length,solidity,extent,hog_mean,hog_std,label
C3-noshock_1_pagm_002_roi_8,92.8,79.0,58.42088667591412,23,220,3.029080118694362,62.16363636363636,4.416565673062209,71.78819877942459,1.2875230911330051,26.682142857142864,4.694444444444445,2.2951572742581816,0.7194562118454326,0.8885442403950373,0.99968322031637,0.9996878247222097,50.0,24.727922061357855,0.6195967528635312,9.018952710702303,7.07915898974699,0.9090909090909091,0.6944444444444444,0.0004225866578053683,0.011295163072645664,1
C3-noshock_106_mo_004_roi_5,15.961370024184587,16.0,3.006824597809212,0,32,1.714986561546633,6.654375799232712,0.9614757845801152,-0.6395369150942383,7.787143464034774,108.33210823668497,6.8072344322344325,2.552487387478035,0.3530187460464617,0.9862532438525305,0.9492870083363761,0.9781831763252784,15299.0,546.6356056934325,0.3873212258773527,150.9988283237083,139.21258897980493,0.872632899840292,0.5837530525030525,0.008251861669123173,0.041989393532276154,0
C3-noshock_106_pv_003_roi_0,199.09183673469389,237.5,63.88751063387705,72,255,2.073238116073382,103.062424969988,3.1562911880697366,136.0140581421393,1.0544061854322928,10.831827387443525,5.265151515151516,2.2389792333441125,4.144409384003293,0.929449944975555,0.9992454605112882,0.9994578025861987,98.0,36.14213562373095,0.47494226991250377,11.972246852963417,10.535780214358917,0.9158878504672897,0.7424242424242424,0.00034386321203783154,0.010800322517752647,1
C3-noshock_101_cg_001_roi_0,131.7159090909091,131.5,70.60404135735953,29,255,3.533841463414634,94.44318181818181,5.993365439428778,109.73895633838967,1.0,0.0,4.68595041322314,2.1857277769421617,0.9265444717785247,0.9455601612678067,0.9995625589812992,0.9995808905257013,88.0,36.87005768508881,0.4643345946160273,11.342903177265098,10.04595401837419,0.8979591836734694,0.7272727272727273,0.00022227228328119963,0.008191576227545738,1
C3-noshock_1_pv_003_roi_4,197.59036144578315,206.0,60.505309165549725,68,255,2.4297880158114014,116.27036144578315,3.5057660798798116,141.2288253524916,1.0,0.0,5.12037037037037,2.2182642221164923,1.858868965517242,0.9191801942587065,0.999691686330439,0.9997673659042509,83.0,32.970562748477136,0.5660818969757756,11.358024747222236,9.362976425811315,0.9431818181818182,0.7685185185185185,0.00020259486336726695,0.008180592209100723,1
C3-noshock_101_bla_003_roi_1,91.36,88.0,28.54383295915249,44,146,1.9568406961178046,44.6725,3.508000758527918,65.31667609879939,1.4882516053706947,44.60666666666667,4.553030303030303,2.071869284587003,0.5661317156305794,0.9390564748614392,0.9994319112729518,0.9994600685960908,100.0,34.97056274847714,0.48744542391008344,12.074826367757309,10.543176380413676,0.9433962264150944,0.7575757575757576,0.0005676518776454031,0.013936030678451061,1
C3-noshock_206_rsg_001_roi_2,98.96551724137932,100.0,50.337584111255765,17,200,3.192436040044494,67.96551724137932,5.282521363797548,80.23099438272796,1.0790290360046457,7.821149425287345,4.445454545454545,2.056415078530259,0.45615337043908466,0.9484068018372507,0.9996000829121031,0.9996103146059993,87.0,33.31370849898476,0.5672948877186951,11.638765976625365,9.584695219652087,0.925531914893617,0.7909090909090909,0.00042065931484103203,0.01230347715318203,1
C3-noshock_1_sc_004_roi_10,123.25316455696202,121.0,48.480315293923546,42,222,2.5126718096376375,74.20053297801465,4.160369416714734,93.62763080945895,1.1952213587727607,24.06165025785279,4.863247863247863,2.3457762839753595,0.41706940417069405,0.9458113371662256,0.999752802680793,0.9997606486210939,79.0,33.384776310850235,0.6961717683826453,11.911032477634592,8.550635370721162,0.9080459770114943,0.6752136752136753,0.0002593401004560292,0.00907270796597004,1
C3-noshock_106_pv_003_roi_10,203.54651162790697,245.5,65.7696220568864,59,255,2.5156205091036323,122.63346814964609,3.2269131248691867,140.4687330353524,1.0313301979150995,6.377152494230444,5.575757575757576,2.3326445264302555,4.738304294141859,0.9121850204696416,0.9993346331422545,0.9995339980475847,86.0,37.21320343559643,0.755262317713731,13.297101285898144,8.71522117251844,0.8775510204081632,0.6515151515151515,0.0006487236823886633,0.014762195758521557,1
C3-noshock_1_pagm_003_roi_5,100.36507936507937,89.0,52.431755065794,30,218,3.0243941326530615,67.17989417989418,4.823649739189099,79.55820390941005,1.1509003411581302,15.145124716553283,4.7,2.258071940591993,0.9888099863932683,0.9095588174737871,0.9995058260530165,0.9995079309430711,63.0,30.14213562373095,0.6263075467778604,10.257214261764062,7.996278835519311,0.875,0.7,8.006850839592516e-05,0.0048780739307403564,1
C3-noshock_6_pl_001_roi_3,95.02777777777777,98.5,40.1618158281879,24,170,3.376621545403271,66.88492063492063,4.9109964596444,75.67777853451653,1.2129417375651934,20.235380116959064,4.559440559440559,2.0538974638285534,0.30979920231054886,0.9607948366273465,0.9995874024041783,0.9996029889607873,108.0,37.798989873223334,0.5998726135313273,13.121874530765936,10.498753078639561,0.9310344827586207,0.7552447552447552,0.0002803834213409573,0.008794490247964859,1
C3-noshock_1_pl_001_roi_6,43.39473684210526,40.0,10.42148457371701,33,80,1.2321962313190382,8.177345537757432,1.4692020513157,13.858474758041059,3.372668467574471,102.96132376395533,4.686868686868687,2.435621442474115,0.11971450804016548,0.8937616288662648,0.9996760855698206,0.9997250025112734,76.0,30.72792206135785,0.48244685313991,10.533773365127837,9.22679801001453,0.926829268292683,0.7676767676767676,0.0002838312939275056,0.009196973405778408,0
C3-noshock_101_dgca1_002_roi_1,143.38028169014083,148.0,77.84425878170312,27,254,3.492596605272661,102.32765011119346,5.9772037959165205,119.39242941244291,1.0,0.0,4.4222222222222225,2.2802425688596175,3.0411486200392632,0.9163450753711483,0.9992012801564024,0.9992117560599316,71.0,33.45584412271571,0.38910681648461004,10.005464968397044,9.2169607178555,0.9102564102564102,0.7888888888888889,0.0007528931018896401,0.014794090762734413,1
C3-noshock_106_pv_001_roi_3,202.47368421052633,237.0,60.698537588429275,80,255,2.175265193495126,109.39368421052633,3.917358103422254,150.7874000197492,1.0311612577308464,6.30933465739821,5.233333333333333,2.2350739485653612,4.974073492462309,0.9253247405407848,0.9991598946499095,0.9994228168991194,95.0,33.55634918610404,0.5334475754676716,11.953917651021342,10.111019585508098,0.9595959595959596,0.7916666666666666,0.0004911452415399253,0.011918402276933193,1
C3-noshock_1_pagm_002_roi_7,87.85714285714286,89.5,44.88375007068999,29,166,2.739420935412027,55.78571428571429,4.181323720648489,66.84534163656744,1.3599593495934958,31.625,4.392857142857143,2.193159588263434,0.4831703794382788,0.889915343402573,0.9997261734805952,0.9997324158213526,42.0,23.31370849898476,0.3570042427479666,7.637047697649874,7.1337873506962985,0.9130434782608695,0.75,0.00025186475249938667,0.008699871599674225,1
C4-40669_10X_BLA_001_roi_32,212.90551181102362,226.0,42.23023379979436,103,255,1.1964521515555897,34.958143389970985,2.5951420029436636,130.8654879628005,1.082895157879842,17.648836015063353,5.16969696969697,2.566979695412,3.615391812865497,0.9095517301998431,0.9995254816160765,0.9995895536427294,127.0,41.21320343559643,0.6896224896585358,14.971338320634533,10.841779939632914,0.9477611940298507,0.7696969696969697,0.000345119449775666,0.010847250930964947,1
